"date","bus","rail_boardings","total_rides"
2023-01-24,"505,791","355,136","860,927"
2023-01-25,"462,648","337,076","799,724"
2023-01-26,"484,428","350,067","834,495"
2023-01-27,"435,531","290,048","725,579"
2023-01-28,"270,454","190,883","461,337"
2023-01-29,"199,420","144,673","344,093"
2023-01-30,"420,711","284,230","704,941"
2023-01-31,"428,116","311,121","739,237"
2023-02-01,"488,390","332,706","821,096"
2023-02-02,"488,230","339,244","827,474"
2023-02-03,"367,206","247,871","615,077"
2023-02-04,"295,858","188,543","484,401"
2023-02-05,"228,506","147,681","376,187"
2023-02-06,"489,061","304,675","793,736"
2023-02-07,"512,128","348,998","861,126"
2023-02-08,"517,223","348,441","865,664"
2023-02-09,"456,891","326,676","783,567"
2023-02-10,"480,757","289,003","769,760"
2023-02-11,"305,427","182,401","487,828"
2023-02-12,"228,971","139,964","368,935"
2023-02-13,"477,325","298,814","776,139"
2023-02-14,"510,605","355,572","866,177"
2023-02-15,"498,251","346,762","845,013"
2023-02-16,"450,939","324,574","775,513"
2023-02-17,"447,365","297,527","744,892"
2023-02-18,"307,618","213,471","521,089"
2023-02-19,"241,433","167,599","409,032"
2023-02-20,"371,110","251,523","622,633"
2023-02-21,"512,268","349,053","861,321"
2023-02-22,"445,175","320,183","765,358"
2023-02-23,"500,377","349,987","850,364"
2023-02-24,"468,093","303,528","771,621"
2023-02-25,"313,877","199,947","513,824"
2023-02-26,"246,373","152,718","399,091"
2023-02-27,"438,886","284,156","723,042"
2023-02-28,"516,342","350,093","866,435"
2023-03-01,"538,035","357,399","895,434"
2023-03-02,"505,862","352,552","858,414"
2023-03-03,"441,984","285,055","727,039"
2023-03-04,"332,481","209,545","542,026"
2023-03-05,"246,208","156,086","402,294"
2023-03-06,"470,524","303,195","773,719"
2023-03-07,"528,413","362,941","891,354"
2023-03-08,"521,850","359,517","881,367"
2023-03-09,"498,577","352,220","850,797"
2023-03-10,"466,305","312,533","778,838"
2023-03-11,"326,961","340,919","667,880"
2023-03-12,"215,765","159,274","375,039"
2023-03-13,"459,265","307,389","766,654"
2023-03-14,"524,325","366,497","890,822"
2023-03-15,"535,449","367,880","903,329"
2023-03-16,"499,382","360,728","860,110"
2023-03-17,"435,055","319,561","754,616"
2023-03-18,"284,653","199,267","483,920"
2023-03-19,"238,907","157,695","396,602"
2023-03-20,"478,059","300,593","778,652"
2023-03-21,"510,959","347,098","858,057"
2023-03-22,"499,380","340,260","839,640"
2023-03-23,"489,519","342,562","832,081"
2023-03-24,"475,520","306,297","781,817"
2023-03-25,"287,548","202,198","489,746"
2023-03-26,"222,855","179,536","402,391"
2023-03-27,"493,436","320,115","813,551"
2023-03-28,"521,594","365,749","887,343"
2023-03-29,"470,430","353,192","823,622"
2023-03-30,"517,477","388,264","905,741"
2023-03-31,"467,904","309,609","777,513"
2023-04-01,"315,267","235,235","550,502"
2023-04-02,"261,251","191,192","452,443"
2023-04-03,"439,537","304,009","743,546"
2023-04-04,"428,000","325,448","753,448"
2023-04-05,"438,936","335,701","774,637"
2023-04-06,"459,977","353,018","812,995"
2023-04-07,"419,926","312,653","732,579"
2023-04-08,"333,736","244,038","577,774"
2023-04-09,"237,320","168,475","405,795"
2023-04-10,"492,576","324,608","817,184"
2023-04-11,"539,533","388,288","927,821"
